L,absPolarity,sentiment_polarity,sentiment_subjectivity,ive,love,drunk,text,fuck,realli,high,need,say,good,want,go,home,girl,your,shit,even,make,lol,call,take,got,friend,drink,see,get,peopl,night,let,know,never,amp,one,look,last,like,work,drive,thing,u,today,time,wanna,think,talk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
True,0.27,0.27,0.35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.0029246634117490733,-0.011295462507607218,-0.013970561607835552,0.11594609344132684,0.0415998457360109,-0.07683676945096184,-0.18164416730947516,-0.25821559561513385,0.025003439635362657,0.007605181015767376,0.07266637723336153,-0.16733683342826283,-0.03482208555807743,-0.23522649015215039,-0.05771336306579059,0.16140638756487077
True,0.01,0.01,0.59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.5,0.5,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.010524381499286771,-0.10110678808352412,0.12018513746348011,-0.2753316355333771,-0.11447975878725407,0.09840287119931986,-0.06744415136905947,-0.14399239849630288,-0.05563470308554163,0.029894764337259284,-0.037084645161955455,0.08999386520358811,0.07778655525435399,-0.003466545767707472,0.10664119734769363,-0.0675401178981676
True,0.81,0.81,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.02,0.02,0.45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.001689622247658713,-0.03363675347126401,0.024545307982498786,-0.13975780222393125,0.026121035515781207,-0.015324540718784427,-0.11594444168907814,0.18851473564104407,0.11185451553413348,-0.1403962576740132,0.002513540011734212,0.05670467135796473,-0.31509820742370637,-0.10330845944823007,-0.21268823577304,0.048271949226507176
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.46,-0.46,0.79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.005966966468005701,0.0011926057354903988,-0.10106042291683733,-0.02296337759640156,0.08157117107437716,0.009158429585174061,-0.3770624490791521,-0.1626625679452429,0.05635718400018701,0.21183137978189545,0.0577228496880203,0.13533664986390923,-0.13236289192145667,0.01906106984331566,-0.1195648730700028,0.1550377450360859
True,0.0,0.0,0.71,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0010130472825150968,0.00685070109037079,-0.027407635572709532,0.006084027981392948,0.017595324141142853,0.7078454706330908,-0.10466664823678301,0.20988564944124033,0.3385904616641082,-0.0956104308949269,-0.17370951491079248,0.1717101388250965,-0.06443651057107812,0.042936845551617926,0.22136126952821805,0.19767179844679386
True,0.19,0.19,0.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.014885312886356495,-0.01994838036681436,0.07716797207691337,-0.09458568082774152,-0.27898292557198234,-0.039833400206161634,0.11778784850091001,0.14871562002896876,-0.2661007247229817,-0.08430221878577554,-0.12770700313478783,0.44153338498831207,0.1110195422631268,-0.2436930864409403,0.04491155502679524,0.06955513258071365
