L,absPolarity,sentiment_polarity,sentiment_subjectivity,1,2
True,0.188541667,-0.19,0.83,-709409.8996908179,716235.3606432102
True,0.187946429,0.19,0.73,-951658.9270250994,775689.1583924701
True,0.5,-0.5,1.0,-814557.4989284297,723593.5588194125
True,0.5,-0.5,1.0,-688819.1835863561,547038.5623990496
True,0.25,-0.25,0.75,-984614.0737356385,822176.2021982891
True,0.133333333,-0.13,0.47,-768695.0214978765,659250.841601349
True,0.55,-0.55,0.85,-704304.6687874686,638921.7514051643
True,0.5,-0.5,1.0,-580158.2778764131,674937.1122190631
True,0.2,-0.2,0.6,-753250.7674234125,707512.4635944124
True,0.233333333,-0.23,0.62,-640888.9217562503,619920.8562046005
True,0.3125,-0.31,0.65,-675637.070367285,809079.2627643417
True,0.5,-0.5,1.0,-697452.5442342653,629287.7871613768
True,0.135185185,-0.14,0.54,-720646.6294780651,661844.6540139054
True,0.5,-0.5,1.0,-742552.539519105,832968.0892317265
True,0.5,-0.5,1.0,-641459.9597744934,761074.5499827825
True,0.0,0.0,0.75,-766142.312645351,725826.8843337414
True,0.218518519,-0.22,0.47,-814032.7967299024,512249.8004166042
True,0.65,-0.65,0.95,-802623.1764155714,776882.1882340651
True,0.5,-0.5,1.0,-651282.4500661854,704732.6753896398
True,0.333333333,-0.33,0.62,-676744.8260957632,530017.5546390832
True,0.625,-0.63,1.0,-749716.3053323458,772885.5799346607
True,0.6,-0.6,0.83,-710881.6842921191,648136.9888054092
True,0.15,-0.15,0.6,-820907.4476133967,592227.5465564221
True,0.5,-0.5,1.0,-104476.74344857116,6511.542785750964
True,0.075,-0.08,0.82,-782025.3494499861,677913.682726031
True,0.18,-0.18,0.78,-681764.3020590123,747551.4673133905
True,0.25,-0.25,0.83,-1026635.1013175668,740729.6884515762
True,0.5,-0.5,1.0,-574544.4906226734,737185.7235153976
True,0.5,-0.5,1.0,-580158.2778764131,674937.1122190631
True,0.25,-0.25,0.52,-766298.1413093421,655680.6607248215
True,0.1,0.1,0.93,-941872.0139426945,762063.3990872416
True,0.2,0.2,0.2,-641459.9597744934,761074.5499827825
True,0.25,-0.25,0.5,-895801.3933481582,627095.99544074
True,0.05,0.05,1.0,-574544.4906226734,737185.7235153976
True,0.1625,-0.16,0.42,-836961.7687828275,684879.1196948808
True,0.25,-0.25,0.53,-804363.0285427133,779248.3425296759
True,0.117424242,0.12,0.66,-902979.6535314275,707659.1258630891
True,0.15,-0.15,0.53,-1016550.3426754276,796812.6229393356
True,0.2,-0.2,0.8,-692092.3977648164,762050.5316597079
True,0.5,-0.5,1.0,-574544.4906226734,737185.7235153976
True,0.35,-0.35,0.9,-591328.2067336735,620477.9985053664
True,0.2,-0.2,0.7,-886534.0470049634,754443.3209365766
True,0.5,-0.5,1.0,-592993.9158669175,622822.4081918166
True,0.1625,-0.16,0.79,-790154.1485358462,689306.7299696807
True,0.5,-0.5,1.0,-574544.4906226734,737185.7235153976
True,0.15,-0.15,0.75,-794828.8899127879,695973.0865317737
True,0.35,-0.35,0.8,-738864.5169349469,617344.4543109002
True,0.5,-0.5,1.0,-688472.7083577894,756964.5587370952
True,0.066666667,0.07,1.0,-890493.8726773458,830110.9965084104
True,0.22,0.22,0.61,-670631.1765215971,731891.7777062526
True,0.15,-0.15,0.6,-816099.7498121543,655606.0410530897
True,0.5,-0.5,1.0,-912570.3420499156,580606.7080395462
True,0.5,-0.5,1.0,-599944.7493101589,702723.1285217695
True,0.0125,-0.01,0.49,-930119.8335238211,745449.1237723778
True,0.15,0.15,0.88,-875214.4010388975,738713.0577776263
True,0.25,-0.25,0.53,-706437.1163103271,782028.5327526475
True,0.5,-0.5,1.0,-866788.2807181964,796977.5749061885
